,CAD,HKD,ISK,PHP,DKK,HUF,CZK,GBP,RON,SEK,IDR,INR,BRL,RUB,HRK,JPY,THB,CHF,EUR,MYR,BGN,TRY,CNY,NOK,NZD,ZAR,USD,MXN,SGD,AUD,ILS,KRW,PLN
2018-01-21,1.2440636475,7.8183598531,,50.7042023664,6.0753977968,252.3051815585,20.7531619747,0.7210526316,3.8020399837,8.0239086087,13313.4965320277,63.8425132599,3.2078335373,56.5747858017,6.0670746634,110.599755202,31.8800489596,0.9594451244,0.8159934721,3.9379844961,1.5959200326,3.7990208078,6.403998368,7.8533659731,1.3733986128,12.2034271726,1.0,18.6174622603,1.3201142391,1.2486332109,3.413871889,1066.4381884945,3.403998368
2018-01-22,1.2476509519,7.8183675137,,50.8930468176,6.0823596699,253.0026962987,20.7525124602,0.7197074924,3.8132200343,8.0349701773,13351.9977122314,63.9124928507,3.1933164474,56.6074842716,6.075251246,110.8423890841,31.8596290547,0.9611896397,0.8170602173,3.9349620067,1.5980063731,3.8035787238,6.4036277474,7.8619985293,1.3692295122,12.1000081706,1.0,18.6340387287,1.319633957,1.2490399542,3.4198872457,1070.3325435085,3.4077130485
2018-01-23,1.2481835252,7.8177810434,,51.0253898277,6.0768225978,253.1880153482,20.7388358233,0.7170381256,3.8133725202,8.0368193322,13343.9954281982,63.775002041,3.2209159931,56.494979182,6.0662911258,110.4988162299,31.8303534982,0.9616295208,0.816393175,3.9311780554,1.5967017716,3.7794922034,6.4059106866,7.8683974202,1.3651726672,12.1276022532,1.0,18.8278226794,1.3194546494,1.2543881133,3.4188913381,1075.8837456119,3.4040329823
2018-01-24,1.2329177461,7.8170336788,,50.833873057,6.0274449482,250.1700129534,20.5424222798,0.7058209197,3.7765544041,7.9600874352,13317.9970854922,63.6925194301,3.1927623057,56.324886658,6.017244171,109.3992875648,31.5997409326,0.9500485751,0.8095854922,3.9094073834,1.5833873057,3.7453853627,6.3729760363,7.7942843264,1.3501457254,11.9659164508,1.0,18.5431509067,1.309990285,1.2394753886,3.4097312176,1064.8720854922,3.3648801813
2018-01-25,1.2322882244,7.8178447651,,50.9301200935,6.0001611993,249.3350527928,20.4570000806,0.7015233336,3.7634399936,7.9139195615,13293.0039493834,63.5649230273,3.1484645764,55.8406544693,5.9841218667,108.9062625937,31.4201660353,0.9414040461,0.8059966148,3.885467881,1.5763681793,3.7406302894,6.3310228097,7.7261223503,1.3559281051,11.8976384299,1.0,18.4420085436,1.3058757153,1.237849601,3.4036431047,1059.410010478,3.342387362
2018-01-26,1.2323094243,7.8177870698,,51.0550016082,5.9848825989,249.1154712126,20.3899967835,0.7022756513,3.7522515278,7.8807494371,13314.9967835317,63.6100836282,3.1480379543,55.9059183017,5.9657446124,109.3197169508,31.3903184304,0.9353489868,0.8041170794,3.8741556771,1.572692184,3.75,6.3278385333,7.6917819234,1.3624155677,11.891524606,1.0,18.5485686716,1.3074139595,1.2367320682,3.3893534899,1064.3936957221,3.3308137665
2018-01-27,1.2323094243,7.8177870698,,51.0550016082,5.9848825989,249.1154712126,20.3899967835,0.7022756513,3.7522515278,7.8807494371,13314.9967835317,63.6100836282,3.1480379543,55.9059183017,5.9657446124,109.3197169508,31.3903184304,0.9353489868,0.8041170794,3.8741556771,1.572692184,3.75,6.3278385333,7.6917819234,1.3624155677,11.891524606,1.0,18.5485686716,1.3074139595,1.2367320682,3.3893534899,1064.3936957221,3.3308137665
2018-01-28,1.2323094243,7.8177870698,,51.0550016082,5.9848825989,249.1154712126,20.3899967835,0.7022756513,3.7522515278,7.8807494371,13314.9967835317,63.6100836282,3.1480379543,55.9059183017,5.9657446124,109.3197169508,31.3903184304,0.9353489868,0.8041170794,3.8741556771,1.572692184,3.75,6.3278385333,7.6917819234,1.3624155677,11.891524606,1.0,18.5485686716,1.3074139595,1.2367320682,3.3893534899,1064.3936957221,3.3308137665
2018-01-29,1.2334598918,7.8183213507,,51.4112610065,6.0123596413,249.8909443412,20.4354148154,0.7103966395,3.7587850392,7.9023345989,13398.9983035786,63.5798529768,3.1673802407,56.4369496728,5.9954762097,108.8537038533,31.4403425156,0.9340819129,0.8078196946,3.8869052427,1.5799337588,3.7769609823,6.3319331125,7.7185556184,1.3636804265,11.9763308829,1.0,18.6053800792,1.3102835447,1.2361256967,3.4034251555,1070.1510622829,3.3472816867
2018-01-30,1.2321069157,7.8187746558,,51.326785283,5.9910635215,249.8832622172,20.3928830207,0.7079140166,3.7447065454,7.8757748974,13389.0024957733,63.6478544401,3.1623862813,56.0251187505,5.9727880203,108.6707994525,31.4097093632,0.9330166653,0.8050881572,3.9004911038,1.5745914178,3.7704693664,6.3252556155,7.6988970292,1.3635778118,11.9136140407,1.0,18.620803478,1.3106835198,1.2354077772,3.3995652524,1070.1634328959,3.3370099026
2018-01-31,1.2274223328,7.8199405956,,51.2739824998,5.9740708036,249.3778598378,20.2873886168,0.7057076343,3.7364533997,7.8385646624,13375.9974311632,63.562655535,3.1603114715,56.2513446255,5.9665248455,108.8544593401,31.3101067673,0.9336919001,0.8027614996,3.8996548126,1.5700409408,3.7514650397,6.2888335875,7.6760054588,1.3488801477,11.8664204865,1.0,18.645099141,1.3075379305,1.2328008349,3.4055551096,1065.2885927591,3.3317010516
2018-02-01,1.2318805683,7.8199695,100.3371057067,51.6333574123,5.9738341761,248.8642748214,20.2801187896,0.7024640822,3.7360943896,7.8682077213,13417.8505498034,64.0227947668,3.1694357493,56.2822056345,5.96556706,109.6556705996,31.3596596838,0.9312946464,0.802632635,3.9040051368,1.5697889076,3.7464483506,6.2967332852,7.6815956337,1.3599807368,11.8986274982,1.0,18.5656954812,1.3124648848,1.249458223,3.4284453006,1071.0811461594,3.3343767558
2018-02-02,1.2317483189,7.8203650336,100.2241434518,51.6250400256,5.9581332053,247.7505603586,20.1665065642,0.7032500801,3.7190201729,7.8628722382,13466.0502721742,64.0573967339,3.2014889529,56.2710534742,5.9517291066,109.846301633,31.4000960615,0.9282740954,0.8005123279,3.8869676593,1.5656420109,3.7459974384,6.2880243356,7.6579410823,1.3576689081,11.9740634006,1.0,18.4566122318,1.3135606788,1.2512007685,3.4339577329,1084.8302913865,3.3254082613
2018-02-03,1.2317483189,7.8203650336,100.2241434518,51.6250400256,5.9581332053,247.7505603586,20.1665065642,0.7032500801,3.7190201729,7.8628722382,13466.0502721742,64.0573967339,3.2014889529,56.2710534742,5.9517291066,109.846301633,31.4000960615,0.9282740954,0.8005123279,3.8869676593,1.5656420109,3.7459974384,6.2880243356,7.6579410823,1.3576689081,11.9740634006,1.0,18.4566122318,1.3135606788,1.2512007685,3.4339577329,1084.8302913865,3.3254082613
2018-02-04,1.2317483189,7.8203650336,100.2241434518,51.6250400256,5.9581332053,247.7505603586,20.1665065642,0.7032500801,3.7190201729,7.8628722382,13466.0502721742,64.0573967339,3.2014889529,56.2710534742,5.9517291066,109.846301633,31.4000960615,0.9282740954,0.8005123279,3.8869676593,1.5656420109,3.7459974384,6.2880243356,7.6579410823,1.3576689081,11.9740634006,1.0,18.4566122318,1.3135606788,1.2512007685,3.4339577329,1084.8302913865,3.3254082613
2018-02-05,1.2434083601,7.8205787781,100.4823151125,51.5827974277,5.9833601286,248.8745980707,20.2540192926,0.7119614148,3.7245176849,7.9049839228,13495.0,64.1024919614,3.2294212219,56.6708199357,5.9750803859,109.8633440514,31.5297427653,0.9323954984,0.8038585209,3.9032958199,1.5721864952,3.7599678457,6.2900321543,7.7257234727,1.3685691318,12.0285369775,1.0,18.5888263666,1.3172829582,1.2591639871,3.4414790997,1087.3311897106,3.3428456592
2018-02-06,1.2562251602,7.8192067483,101.3869738016,51.540270906,6.0369048585,251.9669072918,20.4663800795,0.7209424933,3.7671343986,8.0042988077,13575.0020277395,64.272447076,3.2752859113,57.3530699976,6.0311460784,109.473598832,31.5848811745,0.9385189391,0.8110957904,3.9149971612,1.5863411469,3.7835185335,6.2816124584,7.8680347149,1.3752129126,12.0625354854,1.0,18.8109335713,1.3232216725,1.2756914592,3.4852786114,1086.7791386163,3.3777273096
2018-02-07,1.2518236343,7.8183660237,101.3130166964,51.2530393905,6.0325822662,251.1022856217,20.44901929,0.7187145404,3.7733019938,7.9903550008,13559.247852164,64.2450153996,3.2476900632,57.157643054,6.0312044091,109.2883773707,31.5902091101,0.9409952991,0.8105041336,3.9029826552,1.5851839844,3.7835143459,6.2745988005,7.8309288377,1.3695088345,11.966283028,1.0,18.6795266656,1.320392284,1.2711946831,3.4913276058,1082.6065812936,3.3712919436
2018-02-08,1.2571008815,7.8187234737,102.1873979758,51.6715638263,6.074273588,253.8034606595,20.606431603,0.7142752204,3.7969311133,8.0777015997,13648.0003264773,64.2927685276,3.2675481554,57.8565132223,6.0723147241,109.6229187071,31.8396996409,0.9431113288,0.8161932746,3.9326640548,1.5963108064,3.8117042116,6.3294972249,7.9056480575,1.3847535096,12.0802317989,1.0,18.7673849167,1.3294156056,1.2809337251,3.4951844597,1089.9200130591,3.4031178583
2018-02-09,1.260897906,7.8208262039,102.0125478693,51.5961867514,6.065102257,254.2817567017,20.6428746028,0.7230505989,3.7939379125,8.1029903039,13658.9994296423,64.3726065347,3.2790678726,58.2624460197,6.0649392976,108.8486922513,31.7998859285,0.9370162145,0.8147967082,3.959912002,1.5935794019,3.8271001385,6.3034302941,7.9836225862,1.3812433798,12.1209973112,1.0,18.8162633423,1.3298297075,1.280941905,3.5258697955,1088.7232135582,3.4142426465
2018-02-10,1.260897906,7.8208262039,102.0125478693,51.5961867514,6.065102257,254.2817567017,20.6428746028,0.7230505989,3.7939379125,8.1029903039,13658.9994296423,64.3726065347,3.2790678726,58.2624460197,6.0649392976,108.8486922513,31.7998859285,0.9370162145,0.8147967082,3.959912002,1.5935794019,3.8271001385,6.3034302941,7.9836225862,1.3812433798,12.1209973112,1.0,18.8162633423,1.3298297075,1.280941905,3.5258697955,1088.7232135582,3.4142426465
2018-02-11,1.260897906,7.8208262039,102.0125478693,51.5961867514,6.065102257,254.2817567017,20.6428746028,0.7230505989,3.7939379125,8.1029903039,13658.9994296423,64.3726065347,3.2790678726,58.2624460197,6.0649392976,108.8486922513,31.7998859285,0.9370162145,0.8147967082,3.959912002,1.5935794019,3.8271001385,6.3034302941,7.9836225862,1.3812433798,12.1209973112,1.0,18.8162633423,1.3298297075,1.280941905,3.5258697955,1088.7232135582,3.4142426465
2018-02-12,1.2580119057,7.8196199951,102.2588273669,51.969338661,6.0717605806,254.399412868,20.6784636712,0.7224985729,3.793851423,8.0889668107,13636.7528337275,64.3349914377,3.2956862106,57.9671369159,6.0772241703,108.6438881187,31.7002364837,0.9380249531,0.8154611433,3.9442224578,1.594878904,3.8039631412,6.3283046563,7.9487074941,1.3795971622,11.9645274403,1.0,18.6221968523,1.3256136345,1.2757889587,3.5243415151,1083.1770366142,3.404387181
2018-02-13,1.2603583881,7.8218600503,101.6784237412,52.12438174,6.0397308035,253.1095435012,20.5837995622,0.7211140842,3.7773453337,8.0587042893,13639.9983783345,64.2771426255,3.2953863618,57.7765345009,6.0291088948,107.6948025622,31.5097705343,0.934241466,0.8108327252,3.9469715398,1.585826644,3.7999675667,6.3442795751,7.8989702424,1.3736317198,11.9824860131,1.0,18.6311521933,1.3227925079,1.2742236277,3.5330414336,1085.0887861834,3.3877402092
2018-02-14,1.2575315841,7.8219144801,101.3929381276,52.1477162293,6.0323939099,253.3365727243,20.5458373826,0.7210884354,3.7743764172,8.0421930677,13615.7515387107,64.072319404,3.2819080013,57.3771460965,6.0204081633,107.2238419177,31.4196631033,0.9328636216,0.8098477486,3.9033041788,1.5839002268,3.8005344995,6.3444282475,7.8675089083,1.3664561063,11.8187560739,1.0,18.6209912536,1.3192419825,1.2720278588,3.5370910269,1078.0612244898,3.3786038225
2018-02-15,1.2490194509,7.8222204434,100.0560313776,52.1452013127,5.9627791563,249.4837108781,20.3073721284,0.7096774194,3.7316897463,7.9388457536,13525.0540302569,63.9149923957,3.2221243897,56.6795005203,5.9539742256,106.5476666933,31.3199391659,0.9241175058,0.800448251,3.8945009205,1.5655166893,3.7657888418,6.3444328824,7.7923637237,1.3534779477,11.6550868486,1.0,18.5111662531,1.3115344593,1.2612663091,3.5242135596,1065.1965100456,3.3244216761
2018-02-16,1.2505616175,7.8208440308,100.4492939666,52.2472721438,5.9756899872,249.7432605905,20.3305519897,0.7124759307,3.7407734275,7.9541078306,13517.4983953787,64.2201540436,3.2344351733,56.3931322208,5.9675866496,106.1777920411,31.2901155327,0.9243421053,0.8023106547,3.8944961489,1.5691591784,3.7535301669,6.3444319641,7.767169448,1.3521341463,11.6600609756,1.0,18.5033697047,1.3106546855,1.2592265725,3.5470956354,1064.8748395379,3.3373716303
2018-02-17,1.2505616175,7.8208440308,100.4492939666,52.2472721438,5.9756899872,249.7432605905,20.3305519897,0.7124759307,3.7407734275,7.9541078306,13517.4983953787,64.2201540436,3.2344351733,56.3931322208,5.9675866496,106.1777920411,31.2901155327,0.9243421053,0.8023106547,3.8944961489,1.5691591784,3.7535301669,6.3444319641,7.767169448,1.3521341463,11.6600609756,1.0,18.5033697047,1.3106546855,1.2592265725,3.5470956354,1064.8748395379,3.3373716303
2018-02-18,1.2505616175,7.8208440308,100.4492939666,52.2472721438,5.9756899872,249.7432605905,20.3305519897,0.7124759307,3.7407734275,7.9541078306,13517.4983953787,64.2201540436,3.2344351733,56.3931322208,5.9675866496,106.1777920411,31.2901155327,0.9243421053,0.8023106547,3.8944961489,1.5691591784,3.7535301669,6.3444319641,7.767169448,1.3521341463,11.6600609756,1.0,18.5033697047,1.3106546855,1.2592265725,3.5470956354,1064.8748395379,3.3373716303
2018-02-19,1.2564061241,7.8223207091,100.4834810637,52.4576954069,6.0016116035,250.7252215955,20.4085414988,0.7138597905,3.7560838034,7.9899274778,13552.4415793715,64.2526188558,3.2333601934,56.4632554392,5.9939564867,106.5592264303,31.3803384367,0.927719581,0.8058017728,3.8904915391,1.5759871072,3.7530217566,6.3443996777,7.7820306205,1.3553585818,11.6530217566,1.0,18.5437550363,1.3130539887,1.263174859,3.5191780822,1066.8573730862,3.3408541499
2018-02-20,1.2603727715,7.8240680713,100.7293354943,52.3176661264,6.035089141,252.6580226904,20.5170178282,0.7144894652,3.7792544571,8.0784440843,13630.2512155592,64.8322528363,3.2507293355,56.6508103728,6.0279578606,107.1717990276,31.5097244733,0.9349270665,0.8103727715,3.8979740681,1.5849270665,3.7735818476,6.3444084279,7.8349270665,1.3599675851,11.7435980551,1.0,18.6387358185,1.3186385737,1.2680713128,3.5024311183,1072.6904376013,3.3603727715
2018-02-21,1.2671377518,7.8249675114,100.6335282651,52.1678037687,6.0481643925,253.5331384016,20.598602989,0.7185103964,3.7861435997,8.0935672515,13610.9974009097,64.7575536062,3.2553606238,56.5834957765,6.0441033138,107.5454840806,31.5001624431,0.9381903834,0.8122157245,3.9127680312,1.588531514,3.7889863548,6.3443794672,7.8313840156,1.3607862248,11.6449805068,1.0,18.7228719948,1.321231319,1.2738791423,3.4983755686,1073.7654320988,3.3779239766
2018-02-22,1.2698761812,7.8249429782,100.9286412512,52.0617464972,6.0656565657,254.7165200391,20.6223525578,0.7196399479,3.7923590746,8.1429618768,13710.9970674487,65.0777940697,3.2705278592,56.7555392636,6.0642717498,107.0951449984,31.5746171391,0.9374389052,0.8145975888,3.9191919192,1.5931899642,3.7999348322,6.3607852721,7.8928804171,1.3653470186,11.7167644184,1.0,18.7952916259,1.3222548061,1.2788367546,3.4974747475,1084.4411860541,3.4065656566
2018-02-23,1.2695341085,7.823318969,100.7398975526,51.8082770957,6.0548825108,254.394666233,20.6008618587,0.7150174811,3.7848605578,8.1781445646,13675.9980486218,64.7625823238,3.2421335068,56.4663793804,6.0464265387,106.7403853972,31.4399544678,0.9354419058,0.8130742337,3.9137328238,1.5902105862,3.7868932434,6.3349865843,7.8681193593,1.3711683877,11.5650865924,1.0,18.5693958858,1.3215708594,1.2781526953,3.4895519961,1076.8111228555,3.3903569396
2018-02-24,1.2695341085,7.823318969,100.7398975526,51.8082770957,6.0548825108,254.394666233,20.6008618587,0.7150174811,3.7848605578,8.1781445646,13675.9980486218,64.7625823238,3.2421335068,56.4663793804,6.0464265387,106.7403853972,31.4399544678,0.9354419058,0.8130742337,3.9137328238,1.5902105862,3.7868932434,6.3349865843,7.8681193593,1.3711683877,11.5650865924,1.0,18.5693958858,1.3215708594,1.2781526953,3.4895519961,1076.8111228555,3.3903569396
2018-02-25,1.2695341085,7.823318969,100.7398975526,51.8082770957,6.0548825108,254.394666233,20.6008618587,0.7150174811,3.7848605578,8.1781445646,13675.9980486218,64.7625823238,3.2421335068,56.4663793804,6.0464265387,106.7403853972,31.4399544678,0.9354419058,0.8130742337,3.9137328238,1.5902105862,3.7868932434,6.3349865843,7.8681193593,1.3711683877,11.5650865924,1.0,18.5693958858,1.3215708594,1.2781526953,3.4895519961,1076.8111228555,3.3903569396
2018-02-26,1.2676136364,7.8236201299,100.4058441558,51.8961038961,6.04375,254.5373376623,20.6095779221,0.7128246753,3.7844967532,8.1521915584,13664.0016233766,64.7751623377,3.2351461039,55.957711039,6.0418019481,106.8181818182,31.3198051948,0.9358766234,0.8116883117,3.9094967532,1.5875,3.780762987,6.3086850649,7.8168019481,1.3674512987,11.5930194805,1.0,18.6019480519,1.3171266234,1.2751623377,3.4930194805,1071.5584415584,3.3844967532
2018-02-27,1.2720104057,7.8263555808,100.7235184131,52.2607918055,6.0531664092,255.23941143,20.6471018616,0.7186407609,3.7862775384,8.1944557353,13672.7827005934,64.8752133973,3.2380294285,55.9283798065,6.0525160556,107.1213722462,31.3901308837,0.9380538168,0.8129420372,3.9079749614,1.5899520364,3.7906674254,6.3137143322,7.8278188765,1.3753353386,11.6559629298,1.0,18.7224615885,1.3198113974,1.27615641,3.4811803918,1071.8722055117,3.3875294691
