DateTime,CAD,HKD,ISK,PHP,DKK,HUF,CZK,GBP,RON,SEK,IDR,INR,BRL,RUB,HRK,JPY,THB,CHF,EUR,MYR,BGN,TRY,CNY,NOK,NZD,ZAR,USD,MXN,SGD,AUD,ILS,KRW,PLN
2018-01-27,0.1576289317,1.0,,6.5306206414,0.7655468927,31.8652156919,2.6081545329,0.089830491,0.4799633828,1.0080537327,1703.1669786674,8.1365843122,0.402676349,7.1511180597,0.7630988871,13.9834605336,4.0152434634,0.119643702,0.102857378,0.4955565613,0.2011684598,0.4796753821,0.8094155644,0.9838822489,0.1742712555,1.5210857625,0.1279134352,2.3726111374,0.1672358108,0.1581946473,0.4335438481,136.1502540577,0.426055831
2018-01-28,0.1576289317,1.0,,6.5306206414,0.7655468927,31.8652156919,2.6081545329,0.089830491,0.4799633828,1.0080537327,1703.1669786674,8.1365843122,0.402676349,7.1511180597,0.7630988871,13.9834605336,4.0152434634,0.119643702,0.102857378,0.4955565613,0.2011684598,0.4796753821,0.8094155644,0.9838822489,0.1742712555,1.5210857625,0.1279134352,2.3726111374,0.1672358108,0.1581946473,0.4335438481,136.1502540577,0.426055831
2018-01-29,0.15776531,1.0,,6.5757416075,0.7690090202,31.9622247709,2.6137854789,0.0908630648,0.4807662503,1.0107456888,1713.7947780085,8.13216164,0.4051228005,7.2185507785,0.76684955,13.9228996828,4.0213673889,0.1194734612,0.1033239309,0.4971534257,0.202080944,0.4830910387,0.8098839672,0.9872394945,0.1744211277,1.5318289369,0.127904694,2.3797154459,0.1675914158,0.158106279,0.4353140531,136.8773441617,0.4281330399
2018-01-30,0.1575831214,1.0,,6.5645561539,0.76624072,31.9593891904,2.6081942399,0.0905402762,0.4789377761,1.0072901758,1712.4169815789,8.1403873678,0.4044605991,7.1654602181,0.7639033331,13.8986995068,4.0172163473,0.1193302923,0.1029685843,0.4988621971,0.2013859571,0.4822327708,0.8089829793,0.9846679778,0.1743978912,1.5237188134,0.1278972785,2.3815500891,0.1676328552,0.1580052926,0.434795144,136.8709906607,0.426794485
2018-01-31,0.1569605699,1.0,,6.5568250644,0.7639534764,31.8899941486,2.5943149272,0.0902446285,0.4778109698,1.0023816123,1710.4985987497,8.1282785665,0.4041349717,7.19332122,0.7629885128,13.9201133319,4.0038803856,0.1193988482,0.102655703,0.4986808742,0.200774024,0.4797306314,0.8042047776,0.9815938324,0.1724923778,1.5174566023,0.1278782093,2.3843018899,0.1672056091,0.1576483632,0.435496289,136.227197602,0.4260519643
2018-02-01,0.1575300988,1.0,12.8308819756,6.6027568794,0.7639203933,31.8242001868,2.593375689,0.0898295169,0.4777632943,1.0061685946,1715.8443584559,8.1870900861,0.4053002699,7.1972410679,0.7628632132,14.0225189625,4.0102023012,0.1190918515,0.1026388447,0.4992353406,0.2007410525,0.4790873354,0.8052120005,0.9823050632,0.1739112585,1.5215695532,0.1278777366,2.3741391167,0.1678350388,0.1597778895,0.4384218251,136.9674326946,0.4263925525
2018-02-02,0.1575052205,1.0,12.8157883962,6.6013593744,0.7618740531,31.6801785202,2.5787167834,0.0899254801,0.4755558285,1.0054354502,1721.920935184,8.1911006019,0.4093784547,7.1954510093,0.7610551529,14.0461859722,4.0151701265,0.1186995865,0.1023625271,0.4970314867,0.2002006306,0.4790054457,0.8040576506,0.9792306432,0.173606846,1.5311386808,0.1278712689,2.3600704254,0.1679666708,0.1599926299,0.4391045326,138.7186258854,0.4252241739
2018-02-03,0.1575052205,1.0,12.8157883962,6.6013593744,0.7618740531,31.6801785202,2.5787167834,0.0899254801,0.4755558285,1.0054354502,1721.920935184,8.1911006019,0.4093784547,7.1954510093,0.7610551529,14.0461859722,4.0151701265,0.1186995865,0.1023625271,0.4970314867,0.2002006306,0.4790054457,0.8040576506,0.9792306432,0.173606846,1.5311386808,0.1278712689,2.3600704254,0.1679666708,0.1599926299,0.4391045326,138.7186258854,0.4252241739
2018-02-04,0.1575052205,1.0,12.8157883962,6.6013593744,0.7618740531,31.6801785202,2.5787167834,0.0899254801,0.4755558285,1.0054354502,1721.920935184,8.1911006019,0.4093784547,7.1954510093,0.7610551529,14.0461859722,4.0151701265,0.1186995865,0.1023625271,0.4970314867,0.2002006306,0.4790054457,0.8040576506,0.9792306432,0.173606846,1.5311386808,0.1278712689,2.3600704254,0.1679666708,0.1599926299,0.4391045326,138.7186258854,0.4252241739
2018-02-05,0.1589918592,1.0,12.848449963,6.5957774854,0.7650789409,31.8230408683,2.5898363621,0.0910369213,0.4762457857,1.010792698,1725.5756105583,8.196642957,0.4129389031,7.2463715977,0.7640202286,14.0479812515,4.0316380232,0.1192233369,0.1027875997,0.4991057479,0.2010319875,0.4807787189,0.8042924102,0.9878710632,0.1749958885,1.5380622482,0.127867774,2.3769118494,0.1684380396,0.1610064962,0.4400542719,139.0346188636,0.4274422334
